ensembl_gene_id	description
ENSG00000235221	
ENSG00000261791	Putative inactive maltase-glucoamylase-like protein LOC93432  [Source:UniProtKB/Swiss-Prot;Acc:Q2M2H8]
ENSG00000256024	
ENSG00000224640	serine/arginine-rich splicing factor 1 pseudogene 1 [Source:HGNC Symbol;Acc:39417]
ENSG00000256868	
ENSG00000256619	
ENSG00000267215	
ENSG00000267677	
ENSG00000267000	
ENSG00000267061	
ENSG00000267269	
ENSG00000263283	
ENSG00000267774	
ENSG00000221471	
ENSG00000263619	
ENSG00000262938	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:1305]
ENSG00000159212	chloride intracellular channel 6 [Source:HGNC Symbol;Acc:2065]
ENSG00000224161	ribosomal protein S26 pseudogene 54 [Source:HGNC Symbol;Acc:36868]
ENSG00000267486	glutamate dehydrogenase 1 pseudogene 4 [Source:HGNC Symbol;Acc:4339]
ENSG00000267669	
ENSG00000257578	
ENSG00000267066	
ENSG00000183963	smoothelin [Source:HGNC Symbol;Acc:11126]
ENSG00000255707	
ENSG00000267497	nuclear factor (erythroid-derived 2)-like 3 pseudogene 1 [Source:HGNC Symbol;Acc:22278]
ENSG00000171552	BCL2-like 1 [Source:HGNC Symbol;Acc:992]
ENSG00000239398	RNA, 7SL, cytoplasmic 342, pseudogene [Source:HGNC Symbol;Acc:46358]
ENSG00000263833	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000256704	serologically defined colon cancer antigen 3 pseudogene 1 [Source:HGNC Symbol;Acc:29375]
ENSG00000231118	peptidylprolyl isomerase A (cyclophilin A) pseudogene 9 [Source:HGNC Symbol;Acc:9272]
ENSG00000265410	
ENSG00000267462	
ENSG00000229535	ribosomal protein L15 pseudogene 4 [Source:HGNC Symbol;Acc:21663]
ENSG00000267742	family with sequence similarity 60, member C pseudogene [Source:HGNC Symbol;Acc:31737]
ENSG00000252555	RNA, U6 small nuclear 567, pseudogene [Source:HGNC Symbol;Acc:47530]
ENSG00000266419	Small nucleolar RNA SNORD83 [Source:RFAM;Acc:RF00137]
ENSG00000262264	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 (core 3 synthase) [Source:HGNC Symbol;Acc:24141]
ENSG00000261891	
ENSG00000267686	
ENSG00000264591	Small nucleolar RNA SNORD83 [Source:RFAM;Acc:RF00137]
ENSG00000242060	ribosomal protein S3a pseudogene 49 [Source:HGNC Symbol;Acc:36810]
ENSG00000202468	RNA, U4 small nuclear 17, pseudogene [Source:HGNC Symbol;Acc:46953]
ENSG00000267620	
ENSG00000256840	
ENSG00000267401	
ENSG00000267400	
ENSG00000256456	
ENSG00000266915	mitochondrial ribosomal protein S5 pseudogene 4 [Source:HGNC Symbol;Acc:29779]
ENSG00000267687	
ENSG00000253011	
ENSG00000207495	RNA, Ro-associated Y3 pseudogene 10 [Source:HGNC Symbol;Acc:42494]
ENSG00000232314	proteasome (prosome, macropain) 26S subunit, ATPase, 1 pseudogene 13 [Source:HGNC Symbol;Acc:39788]
ENSG00000267382	
ENSG00000230223	ATXN8 opposite strand (non-protein coding) [Source:HGNC Symbol;Acc:10561]
ENSG00000202433	RNA, U6 small nuclear 54, pseudogene [Source:HGNC Symbol;Acc:42544]
ENSG00000150477	KIAA1328 [Source:HGNC Symbol;Acc:29248]
ENSG00000267098	
ENSG00000226554	SOGA family member 2 pseudogene 1 [Source:HGNC Symbol;Acc:42040]
ENSG00000262595	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26202]
ENSG00000226846	long intergenic non-protein coding RNA 348 [Source:HGNC Symbol;Acc:42658]
ENSG00000267153	C-terminal binding protein 2 pseudogene 3 [Source:HGNC Symbol;Acc:45195]
ENSG00000225801	Rab9 effector protein with kelch motifs pseudogene 1 [Source:HGNC Symbol;Acc:39791]
ENSG00000267513	
ENSG00000236534	H3 histone, family 3B (H3.3B) pseudogene 1 [Source:HGNC Symbol;Acc:42030]
ENSG00000206769	RNA, U6 small nuclear 116, pseudogene [Source:HGNC Symbol;Acc:47079]
ENSG00000243256	ribosomal protein L30 pseudogene 14 [Source:HGNC Symbol;Acc:36257]
ENSG00000270932	
ENSG00000267316	
ENSG00000235956	proline-rich transmembrane protein 1 [Source:HGNC Symbol;Acc:13943]
ENSG00000267279	
ENSG00000205856	chromosome 22 open reading frame 42 [Source:HGNC Symbol;Acc:27160]
ENSG00000156304	SR-related CTD-associated factor 4 [Source:HGNC Symbol;Acc:19304]
ENSG00000267175	
ENSG00000011201	Kallmann syndrome 1 sequence [Source:HGNC Symbol;Acc:6211]
ENSG00000267038	
ENSG00000072110	actinin, alpha 1 [Source:HGNC Symbol;Acc:163]
ENSG00000237816	ribosomal protein L21 pseudogene 109 [Source:HGNC Symbol;Acc:36388]
ENSG00000260440	
ENSG00000137575	syndecan binding protein (syntenin) [Source:HGNC Symbol;Acc:10662]
ENSG00000267597	ribose 5-phosphate isomerase A pseudogene 1 [Source:HGNC Symbol;Acc:27250]
ENSG00000053747	laminin, alpha 3 [Source:HGNC Symbol;Acc:6483]
ENSG00000262875	calpain 5 [Source:HGNC Symbol;Acc:1482]
ENSG00000266900	
ENSG00000267560	
ENSG00000226898	ubiquitin D [Source:HGNC Symbol;Acc:18795]
ENSG00000257782	
ENSG00000168135	potassium inwardly-rectifying channel, subfamily J, member 4 [Source:HGNC Symbol;Acc:6265]
ENSG00000238220	
ENSG00000171451	dermatan sulfate epimerase-like [Source:HGNC Symbol;Acc:18144]
ENSG00000224319	olfactory receptor, family 2, subfamily H, member 2 [Source:HGNC Symbol;Acc:8253]
ENSG00000238197	PAXBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:39603]
ENSG00000199867	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000267341	
ENSG00000264575	long intergenic non-protein coding RNA 526 [Source:HGNC Symbol;Acc:28278]
ENSG00000254995	STX16-NPEPL1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:41993]
ENSG00000241088	ribosomal protein L17 pseudogene 44 [Source:HGNC Symbol;Acc:36396]
ENSG00000239741	lymphocyte antigen 6 complex, locus G6F [Source:HGNC Symbol;Acc:13933]
ENSG00000231184	family with sequence similarity 58, member D, pseudogene [Source:HGNC Symbol;Acc:42022]
ENSG00000263753	long intergenic non-protein coding RNA 667 [Source:HGNC Symbol;Acc:27906]
ENSG00000229791	
ENSG00000237164	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15 pseudogene 2 [Source:HGNC Symbol;Acc:39843]
ENSG00000223625	cytochrome c, somatic pseudogene 32 [Source:HGNC Symbol;Acc:24406]
ENSG00000265188	
ENSG00000232894	mitochondrial ribosomal protein S31 pseudogene 2 [Source:HGNC Symbol;Acc:39252]
ENSG00000100196	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3 [Source:HGNC Symbol;Acc:6306]
ENSG00000264254	
ENSG00000215572	estrogen-related receptor alpha pseudogene 1 [Source:HGNC Symbol;Acc:3472]
ENSG00000266288	
ENSG00000258635	HCG43720, isoform CRA_a; Lymphocyte antigen 6 complex locus protein G6f; Megakaryocyte-enhanced gene transcript 1 protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:Q9NZJ1]
ENSG00000238132	cancer susceptibility candidate 4 pseudogene 1 [Source:HGNC Symbol;Acc:39251]
ENSG00000265316	
ENSG00000252576	Small nucleolar RNA snR65 [Source:RFAM;Acc:RF01204]
ENSG00000225316	long intergenic non-protein coding RNA 350 [Source:HGNC Symbol;Acc:42668]
ENSG00000264000	
ENSG00000257110	
ENSG00000226352	
ENSG00000265624	RNA, 7SL, cytoplasmic 166, pseudogene [Source:HGNC Symbol;Acc:46182]
ENSG00000233469	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 pseudogene 1 [Source:HGNC Symbol;Acc:39660]
ENSG00000223576	
ENSG00000267487	
ENSG00000238665	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]
ENSG00000266230	
ENSG00000266920	actin, beta pseudogene 9 [Source:HGNC Symbol;Acc:142]
ENSG00000103723	adaptor-related protein complex 3, beta 2 subunit [Source:HGNC Symbol;Acc:567]
ENSG00000225998	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:13940]
ENSG00000237672	KRR1, small subunit (SSU) processome component, homolog (yeast) pseudogene 1 [Source:HGNC Symbol;Acc:39580]
ENSG00000243549	RNA, 7SL, cytoplasmic 705, pseudogene [Source:HGNC Symbol;Acc:46721]
ENSG00000206746	RNA, U6 small nuclear 142, pseudogene [Source:HGNC Symbol;Acc:47105]
ENSG00000236076	
ENSG00000267766	
ENSG00000183473	somatostatin receptor 3 [Source:HGNC Symbol;Acc:11332]
ENSG00000226633	peptidylprolyl isomerase A (cyclophilin A) pseudogene 28 [Source:HGNC Symbol;Acc:39902]
ENSG00000238988	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]
ENSG00000267701	
ENSG00000227754	succinate-CoA ligase, ADP-forming, beta subunit pseudogene 1 [Source:HGNC Symbol;Acc:21632]
ENSG00000260131	long intergenic non-protein coding RNA 556 [Source:HGNC Symbol;Acc:43700]
ENSG00000267390	
ENSG00000263978	microRNA 4499 [Source:HGNC Symbol;Acc:41739]
ENSG00000252572	Small nucleolar RNA SNORD112 [Source:RFAM;Acc:RF01169]
ENSG00000238286	solute carrier family 35, member E1 pseudogene 1 [Source:HGNC Symbol;Acc:42046]
ENSG00000198901	protein regulator of cytokinesis 1 [Source:HGNC Symbol;Acc:9341]
ENSG00000252432	
ENSG00000267430	
ENSG00000198252	serine/threonine/tyrosine interacting protein [Source:HGNC Symbol;Acc:11447]
ENSG00000222726	RNA, U2 small nuclear 7, pseudogene [Source:HGNC Symbol;Acc:42505]
ENSG00000215440	aminopeptidase-like 1 [Source:HGNC Symbol;Acc:16244]
ENSG00000265710	
ENSG00000261738	
ENSG00000203614	
ENSG00000269989	
ENSG00000214318	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 6 [Source:HGNC Symbol;Acc:39509]
ENSG00000233524	RAN, member RAS oncogene family pseudogene 8 [Source:HGNC Symbol;Acc:39863]
ENSG00000237314	ribosomal protein L12 pseudogene 39 [Source:HGNC Symbol;Acc:35976]
ENSG00000236210	lymphocyte antigen 6 complex, locus G6E (pseudogene) [Source:HGNC Symbol;Acc:13934]
ENSG00000131174	cytochrome c oxidase subunit VIIb [Source:HGNC Symbol;Acc:2291]
ENSG00000173404	insulinoma-associated 1 [Source:HGNC Symbol;Acc:6090]
ENSG00000168384	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:4938]
