ensembl_gene_id	description
F41D3.7	Protein F41D3.7  [Source:RefSeq peptide;Acc:NP_493096]
F13G3.11	Protein MRPL-13  [Source:RefSeq peptide;Acc:NP_492067]
T23B3.4	Protein CKR-1  [Source:RefSeq peptide;Acc:NP_491918]
F12B6.3	Protein LGC-51  [Source:RefSeq peptide;Acc:NP_490946]
B0205.9	Protein B0205.9  [Source:RefSeq peptide;Acc:NP_492806]
C01F4.2	Protein RGA-6, isoform a  [Source:RefSeq peptide;Acc:NP_491465]
K04G2.7	Protein K04G2.7, isoform a  [Source:RefSeq peptide;Acc:NP_492216]
T03F1.3	Probable phosphoglycerate kinase  [Source:UniProtKB/Swiss-Prot;Acc:P91427]
W05F2.7	Protein W05F2.7  [Source:RefSeq peptide;Acc:NP_491147]
Y47G6A.32	Protein Y47G6A.32  [Source:RefSeq peptide;Acc:NP_001021768]
F45H11.2	NEDD8  [Source:UniProtKB/Swiss-Prot;Acc:Q93725]
C37A5.8	Protein FIPR-24  [Source:RefSeq peptide;Acc:NP_493471]
T23G11.1	Protein T23G11.1  [Source:RefSeq peptide;Acc:NP_492145]
Y73E7A.3	Protein Y73E7A.3, isoform b  [Source:RefSeq peptide;Acc:NP_001249009]
F28H1.2	Protein CPN-3  [Source:RefSeq peptide;Acc:NP_491282]
ZC308.1	Poly(A) RNA polymerase gld-2  [Source:UniProtKB/Swiss-Prot;Acc:O17087]
F33H2.2	Protein F33H2.2  [Source:RefSeq peptide;Acc:NP_493619]
T04D3.5	Protein T04D3.5  [Source:RefSeq peptide;Acc:NP_493345]
F52B5.5	Transcription factor cep-1  [Source:UniProtKB/Swiss-Prot;Acc:Q20646]
F35E2.1	Protein F35E2.1  [Source:RefSeq peptide;Acc:NP_492991]
K04G2.3	Protein CDC-48.3  [Source:RefSeq peptide;Acc:NP_492211]
W05H12.2	Protein W05H12.2  [Source:RefSeq peptide;Acc:NP_493360]
ZK909.3	Protein ZK909.3  [Source:RefSeq peptide;Acc:NP_493608]
F33D11.3	Protein COL-54  [Source:RefSeq peptide;Acc:NP_491694]
F02E9.3	Protein F02E9.3  [Source:RefSeq peptide;Acc:NP_492279]
F14B6.3	Protein F14B6.3  [Source:RefSeq peptide;Acc:NP_493086]
B0379.4	Protein SCPL-1, isoform a  [Source:RefSeq peptide;Acc:NP_740911]
F32B5.2	Protein F32B5.2  [Source:RefSeq peptide;Acc:NP_491026]
T08G11.1	Protein T08G11.1, isoform b  [Source:RefSeq peptide;Acc:NP_740899]
C46H11.4	Protein LFE-2, isoform c  [Source:RefSeq peptide;Acc:NP_001021049]
Y110A7A.9	Protein Y110A7A.9, isoform a  [Source:RefSeq peptide;Acc:NP_001021718]
F26H9.8	Protein UGGT-2  [Source:RefSeq peptide;Acc:NP_492484]
F48C1.3	Protein F48C1.3  [Source:RefSeq peptide;Acc:NP_491564]
Y37F4.4	Protein Y37F4.4  [Source:RefSeq peptide;Acc:NP_740916]
T06D10.1	Protein RSBP-1  [Source:RefSeq peptide;Acc:NP_492439]
CC4.3	Protein SMU-1  [Source:RefSeq peptide;Acc:NP_493279]
T15D6.11	Protein T15D6.11  [Source:RefSeq peptide;Acc:NP_493142]
Y54E5A.1	Protein TTM-5  [Source:RefSeq peptide;Acc:NP_493549]
F29D10.2	Protein F29D10.2  [Source:RefSeq peptide;Acc:NP_492391]
F32H2.8	Protein F32H2.8  [Source:RefSeq peptide;Acc:NP_492418]
F59C6.16	Protein F59C6.16  [Source:RefSeq peptide;Acc:NP_001129780]
W02B9.1	Cadherin-related hmr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q967F4]
F53G12.7	Protein COL-45  [Source:RefSeq peptide;Acc:NP_490679]
K02F2.3	Protein TEG-4  [Source:RefSeq peptide;Acc:NP_491953]
F36A2.9	Protein F36A2.9, isoform b  [Source:RefSeq peptide;Acc:NP_871868]
F47G4.6	Protein HMG-6  [Source:RefSeq peptide;Acc:NP_493451]
E01A2.10	Protein POML-3  [Source:RefSeq peptide;Acc:NP_001122440]
T27A3.4	Protein T27A3.4  [Source:RefSeq peptide;Acc:NP_491760]
C17H1.5	Protein C17H1.5  [Source:RefSeq peptide;Acc:NP_493297]
Y44E3A.2	Protein ACE-2  [Source:RefSeq peptide;Acc:NP_491141]
C30F12.4	Protein C30F12.4  [Source:RefSeq peptide;Acc:NP_491988]
Y105E8A.23	Protein Y105E8A.23, isoform a  [Source:RefSeq peptide;Acc:NP_001122531]
F26B1.2	Protein F26B1.2, isoform a  [Source:RefSeq peptide;Acc:NP_740869]
T10E9.7	Protein NUO-2, isoform a  [Source:RefSeq peptide;Acc:NP_491881]
Y39G10AR.18	Protein Y39G10AR.18, isoform a  [Source:RefSeq peptide;Acc:NP_740808]
F30F8.1	Protein F30F8.1  [Source:RefSeq peptide;Acc:NP_492163]
F49D11.7	Protein F49D11.7  [Source:RefSeq peptide;Acc:NP_492848]
F43G9.2	Protein F43G9.2, isoform a  [Source:RefSeq peptide;Acc:NP_001122475]
F37E3.3	Protein F37E3.3  [Source:RefSeq peptide;Acc:NP_491852]
Y47G6A.7	Protein Y47G6A.7, isoform a  [Source:RefSeq peptide;Acc:NP_001021769]
R06C1.4	Protein R06C1.4  [Source:RefSeq peptide;Acc:NP_493029]
T09E11.1	Protein GLCT-1  [Source:RefSeq peptide;Acc:NP_493121]
F45H11.3	Protein HPO-35  [Source:RefSeq peptide;Acc:NP_001251364]
F28D9.2	Protein SRI-5, isoform a  [Source:RefSeq peptide;Acc:NP_001021424]
F10G8.3	Nucleoporin-17  [Source:UniProtKB/Swiss-Prot;Acc:Q93454]
ZC334.7	Protein ZC334.7  [Source:RefSeq peptide;Acc:NP_001021848]
C37A2.3	Protein ACDH-5  [Source:RefSeq peptide;Acc:NP_491942]
T21G5.4	Protein T21G5.4  [Source:RefSeq peptide;Acc:NP_491965]
T15D6.6	Nuclear hormone receptor family member nhr-77  [Source:UniProtKB/Swiss-Prot;Acc:O02316]
M01G12.12	Protein RRF-2  [Source:RefSeq peptide;Acc:NP_493057]
C16C2.1	Homeobox protein ceh-5  [Source:UniProtKB/Swiss-Prot;Acc:P20269]
Y63D3A.10	Protein FBXB-56  [Source:RefSeq peptide;Acc:NP_493457]
F39B2.4	Mediator of RNA polymerase II transcription subunit 23  [Source:UniProtKB/Swiss-Prot;Acc:Q10669]
C01A2.6	Protein C01A2.6  [Source:RefSeq peptide;Acc:NP_493354]
T21E12.3	Protein T21E12.3  [Source:RefSeq peptide;Acc:NP_491364]
K04F10.6	Protein MUT-2, isoform a  [Source:RefSeq peptide;Acc:NP_491834]
F16D3.4	Protein F16D3.4  [Source:RefSeq peptide;Acc:NP_492270]
K07A1.9	Protein K07A1.9, isoform b  [Source:RefSeq peptide;Acc:NP_871829]
Y47G6A.5	Protein Y47G6A.5, isoform a  [Source:RefSeq peptide;Acc:NP_491175]
Y39G10AR.2	Protein zwilch homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q95XP9]
ZK1053.7	Protein ZK1053.7  [Source:RefSeq peptide;Acc:NP_001040720]
K07A12.6	Protein HOT-5  [Source:RefSeq peptide;Acc:NP_492349]
C49A1.10	Protein C49A1.10  [Source:RefSeq peptide;Acc:NP_493486]
Y71A12C.1	Protein NHR-276  [Source:RefSeq peptide;Acc:NP_493446]
M04F3.4	Protein M04F3.4, isoform b  [Source:RefSeq peptide;Acc:NP_001249716]
Y34D9A.7	Protein Y34D9A.7  [Source:RefSeq peptide;Acc:NP_490811]
F08A8.8	Protein F08A8.8  [Source:RefSeq peptide;Acc:NP_001122447]
F36D1.12	Protein F36D1.12  [Source:RefSeq peptide;Acc:NP_001129771]
C15A11.7	Protein C15A11.7, isoform a  [Source:RefSeq peptide;Acc:NP_492092]
W02D3.5	Fatty acid-binding protein homolog 6  [Source:UniProtKB/Swiss-Prot;Acc:O01812]
R06C7.8	Protein BUB-1  [Source:RefSeq peptide;Acc:NP_492051]
F36F2.2	Protein F36F2.2  [Source:RefSeq peptide;Acc:NP_492425]
F54C1.2	Protein dom-3  [Source:UniProtKB/Swiss-Prot;Acc:Q10660]
F58D5.4	Protein KSR-2, isoform b  [Source:RefSeq peptide;Acc:NP_001021519]
K07G5.6	Protein K07G5.6  [Source:RefSeq peptide;Acc:NP_492023]
F36D1.5	Protein F36D1.5  [Source:RefSeq peptide;Acc:NP_492893]
F27D4.1	Probable electron transfer flavoprotein subunit alpha, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q93615]
H26D21.2	Protein MSH-2  [Source:RefSeq peptide;Acc:NP_491202]
T22H2.6	Protein PGRN-1, isoform a  [Source:RefSeq peptide;Acc:NP_492981]
F11C3.1	Protein F11C3.1  [Source:RefSeq peptide;Acc:NP_493597]
Y95B8A.10	Probable 3',5'-cyclic phosphodiesterase pde-6  [Source:UniProtKB/Swiss-Prot;Acc:Q9N2V9]
Y76G2A.2	Protein Y76G2A.2  [Source:RefSeq peptide;Acc:NP_491725]
B0511.11	Protein B0511.11  [Source:RefSeq peptide;Acc:NP_492788]
W04G5.4	Protein W04G5.4  [Source:RefSeq peptide;Acc:NP_492965]
F25F8.1	Protein F25F8.1  [Source:RefSeq peptide;Acc:NP_491469]
F52A8.3	Protein F52A8.3, isoform a  [Source:RefSeq peptide;Acc:NP_001021475]
C12C8.3	Protein lin-41  [Source:UniProtKB/Swiss-Prot;Acc:Q9U489]
F48C1.8	Protein F48C1.8  [Source:RefSeq peptide;Acc:NP_491570]
VH15N14R.1	Protein VH15N14R.1  [Source:RefSeq peptide;Acc:NP_492155]
Y71G12B.1	Protein CHAF-2, isoform a  [Source:RefSeq peptide;Acc:NP_490901]
Y105E8A.27	Protein Y105E8A.27  [Source:RefSeq peptide;Acc:NP_001021687]
F07A5.2	Protein F07A5.2  [Source:RefSeq peptide;Acc:NP_492080]
W02D9.4	Protein W02D9.4  [Source:RefSeq peptide;Acc:NP_493179]
Y18H1A.10	Protein Y18H1A.10  [Source:RefSeq peptide;Acc:NP_490768]
B0414.5	Cytoplasmic polyadenylation element-binding protein 3  [Source:UniProtKB/Swiss-Prot;Acc:O01835]
K04F10.2	Protein K04F10.2  [Source:RefSeq peptide;Acc:NP_491836]
T22C1.9	Protein T22C1.9  [Source:RefSeq peptide;Acc:NP_492195]
T27F6.4	Protein SYGL-1  [Source:RefSeq peptide;Acc:NP_493167]
Y65B4BR.4	Protein WWP-1, isoform a  [Source:RefSeq peptide;Acc:NP_740775]
K02B12.4	Axin-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q3LRZ3]
Y18H1A.8	Protein Y18H1A.8  [Source:RefSeq peptide;Acc:NP_490777]
R119.6	Protein TAF-4  [Source:RefSeq peptide;Acc:NP_490728]
T27F6.7	Protein T27F6.7  [Source:RefSeq peptide;Acc:NP_493170]
K04F10.1	Protein K04F10.1  [Source:RefSeq peptide;Acc:NP_491837]
T01A4.1	Protein GCY-28, isoform c  [Source:RefSeq peptide;Acc:NP_001021600]
K05C4.9	Protein K05C4.9  [Source:RefSeq peptide;Acc:NP_493562]
B0511.9	Protein CDC-26, isoform a  [Source:RefSeq peptide;Acc:NP_740913]
Y106G6H.16	Protein Y106G6H.16  [Source:RefSeq peptide;Acc:NP_492740]
C45G3.5	Protein GIP-2  [Source:RefSeq peptide;Acc:NP_001021044]
H31G24.4	Protein CYB-2.2  [Source:RefSeq peptide;Acc:NP_491297]
H31B20.1	Protein H31B20.1  [Source:RefSeq peptide;Acc:NP_001021530]
F25H5.2	Protein F25H5.2  [Source:RefSeq peptide;Acc:NP_492461]
ZK849.5	Uncharacterized protein ZK849.5  [Source:UniProtKB/Swiss-Prot;Acc:O18304]
Y44E3B.1	Protein ZIP-4, isoform a  [Source:RefSeq peptide;Acc:NP_491132]
W09C3.7	Protein W09C3.7  [Source:RefSeq peptide;Acc:NP_491431]
Y53H1A.2	Protein Y53H1A.2, isoform b  [Source:RefSeq peptide;Acc:NP_001122547]
Y48G1BR.1	Protein Y48G1BR.1  [Source:RefSeq peptide;Acc:NP_490708]
Y71A12B.23	Protein Y71A12B.23  [Source:RefSeq peptide;Acc:NP_001252258]
K10D3.8	Protein K10D3.8  [Source:RefSeq peptide;Acc:NP_001250402]
B0041.2	Protein AIN-2, isoform a  [Source:RefSeq peptide;Acc:NP_491420]
Y54E10BR.8	Protein ZTF-23  [Source:RefSeq peptide;Acc:NP_491096]
C41D11.9	TM2 domain-containing protein C41D11.9  [Source:UniProtKB/Swiss-Prot;Acc:Q95QZ5]
T19A6.4	Protein T19A6.4  [Source:RefSeq peptide;Acc:NP_492278]
C55B7.11	Protein C55B7.11  [Source:RefSeq peptide;Acc:NP_491875]
C35E7.3	Protein C35E7.3  [Source:RefSeq peptide;Acc:NP_492832]
Y48G1C.13	Protein Y48G1C.13  [Source:RefSeq peptide;Acc:NP_001248789]
C17H1.13	Protein C17H1.13  [Source:RefSeq peptide;Acc:NP_001040636]
Y73E7A.8	Protein Y73E7A.8  [Source:RefSeq peptide;Acc:NP_490874]
Y44E3A.6	Protein Y44E3A.6, isoform a  [Source:RefSeq peptide;Acc:NP_740827]
C24A11.1	Protein C24A11.1  [Source:RefSeq peptide;Acc:NP_491585]
C36B1.11	Protein C36B1.11  [Source:RefSeq peptide;Acc:NP_492369]
Y71A12B.6	Protein CLEC-112  [Source:RefSeq peptide;Acc:NP_493431]
T23D8.2	Protein TSP-7  [Source:RefSeq peptide;Acc:NP_492636]
Y48G8AR.3	Protein Y48G8AR.3  [Source:RefSeq peptide;Acc:NP_490839]
C32E8.4	Protein C32E8.4  [Source:RefSeq peptide;Acc:NP_491218]
C54G4.1	Putative ribosomal protein S6 kinase alpha-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18846]
W04C9.1	Protein HAF-4  [Source:RefSeq peptide;Acc:NP_001021666]
C10H11.6	Protein UGT-26, isoform a  [Source:RefSeq peptide;Acc:NP_491435]
Y95D11A.3	Protein Y95D11A.3  [Source:RefSeq peptide;Acc:NP_001122560]
F25D7.5	Protein F25D7.5  [Source:RefSeq peptide;Acc:NP_492725]
T04D3.4	Soluble guanylate cyclase gcy-35  [Source:UniProtKB/Swiss-Prot;Acc:O02298]
F56H6.13	Protein F56H6.13  [Source:RefSeq peptide;Acc:NP_493102]
ZK973.1	Protein ZK973.1  [Source:RefSeq peptide;Acc:NP_491362]
T28F2.7	Protein ACD-5  [Source:RefSeq peptide;Acc:NP_491196]
ZK484.4	Protein ZK484.4, isoform b  [Source:RefSeq peptide;Acc:NP_491753]
F32B4.4	Protein F32B4.4, isoform a  [Source:RefSeq peptide;Acc:NP_001021440]
Y95B8A.5	Guanine nucleotide-binding protein alpha-16 subunit  [Source:UniProtKB/Swiss-Prot;Acc:Q9N2V6]
W02A11.3	Protein TOE-4  [Source:RefSeq peptide;Acc:NP_493231]
F52B5.2	Protein F52B5.2  [Source:RefSeq peptide;Acc:NP_492259]
Y71G12B.35	Protein Y71G12B.35  [Source:RefSeq peptide;Acc:NP_001249029]
Y65B4A.3	Protein VPS-20  [Source:RefSeq peptide;Acc:NP_490762]
C43E11.4	Protein TUFM-2  [Source:RefSeq peptide;Acc:NP_491338]
F21C3.5	Probable prefoldin subunit 6  [Source:UniProtKB/Swiss-Prot;Acc:P52554]
W09C5.11	Protein W09C5.11  [Source:RefSeq peptide;Acc:NP_001252203]
ZC581.2	Protein ZC581.2  [Source:RefSeq peptide;Acc:NP_491912]
T05F1.4	Protein T05F1.4  [Source:RefSeq peptide;Acc:NP_492558]
F15D3.7	Protein F15D3.7  [Source:RefSeq peptide;Acc:NP_492953]
F56C11.6	Protein F56C11.6, isoform a  [Source:RefSeq peptide;Acc:NP_490688]
D2092.1	Protein D2092.1, isoform b  [Source:RefSeq peptide;Acc:NP_491908]
T22A3.12	Protein T22A3.12  [Source:RefSeq peptide;Acc:NP_001251433]
F30A10.6	Protein SAC-1  [Source:RefSeq peptide;Acc:NP_492518]
F56G4.7	Protein F56G4.7  [Source:RefSeq peptide;Acc:NP_001021510]
F11A6.2	Protein SCRM-4  [Source:RefSeq peptide;Acc:NP_492975]
Y20F4.2	Protein CRTC-1  [Source:RefSeq peptide;Acc:NP_490917]
T05F1.11	Protein T05F1.11  [Source:RefSeq peptide;Acc:NP_492564]
M05B5.5	Protein HLH-2, isoform a  [Source:RefSeq peptide;Acc:NP_001021581]
F55A12.9	Protein PQN-44, isoform c  [Source:RefSeq peptide;Acc:NP_740852]
W03G9.3	Protein W03G9.3  [Source:RefSeq peptide;Acc:NP_491487]
Y67A6A.1	Protein Y67A6A.1  [Source:RefSeq peptide;Acc:NP_492606]
F58D5.6	Protein F58D5.6  [Source:RefSeq peptide;Acc:NP_493045]
Y52B11C.1	Protein Y52B11C.1  [Source:RefSeq peptide;Acc:NP_492873]
Y105E8A.10	Protein HPO-13, isoform a  [Source:RefSeq peptide;Acc:NP_001021680]
C53H9.1	60S ribosomal protein L27  [Source:UniProtKB/Swiss-Prot;Acc:P91914]
R06C1.3	Protein WVE-1, isoform a  [Source:RefSeq peptide;Acc:NP_001251761]
F48C1.2	Protein FBXA-145  [Source:RefSeq peptide;Acc:NP_491567]
C41D11.4	Protein C41D11.4  [Source:RefSeq peptide;Acc:NP_491369]
C27A12.10	Protein MBD-2  [Source:RefSeq peptide;Acc:NP_001021012]
C34B2.7	Protein SDHA-2  [Source:RefSeq peptide;Acc:NP_492798]
T28B8.6	Protein T28B8.6  [Source:RefSeq peptide;Acc:NP_001021643]
K03E5.3	Protein CDK-2  [Source:RefSeq peptide;Acc:NP_001021537]
T19B4.1	Probable peptidyl-glycine alpha-amidating monooxygenase T19B4.1 Probable peptidylglycine alpha-hydroxylating monooxygenase Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase [Source:UniProtKB/Swiss-Prot;Acc:P83388]
Y110A7A.16	Protein ELPC-1  [Source:RefSeq peptide;Acc:NP_491524]
T08B2.5	Protein T08B2.5, isoform b  [Source:RefSeq peptide;Acc:NP_491793]
T01G9.3	Protein DMA-1  [Source:RefSeq peptide;Acc:NP_492253]
C55B7.1	ATP-dependent RNA helicase glh-2  [Source:UniProtKB/Swiss-Prot;Acc:Q966L9]
T23H4.1	Protein INX-20, isoform b  [Source:RefSeq peptide;Acc:NP_001251236]
K08C9.10	Protein K08C9.10  [Source:RefSeq peptide;Acc:NP_001129783]
Y48G8AL.5	Protein Y48G8AL.5  [Source:RefSeq peptide;Acc:NP_490830]
Y105E8A.32	Protein Y105E8A.32  [Source:RefSeq peptide;Acc:NP_001021690]
Y18D10A.23	Protein Y18D10A.23  [Source:RefSeq peptide;Acc:NP_493251]
C25A1.5	Protein C25A1.5  [Source:RefSeq peptide;Acc:NP_492678]
Y71G12B.16	Protein DRAG-1  [Source:RefSeq peptide;Acc:NP_490881]
F47G4.2	Protein GADR-6  [Source:RefSeq peptide;Acc:NP_493455]
K06A5.2	Protein K06A5.2  [Source:RefSeq peptide;Acc:NP_491861]
T02E1.2	Protein T02E1.2  [Source:RefSeq peptide;Acc:NP_492241]
C50F2.7	Protein C50F2.7  [Source:RefSeq peptide;Acc:NP_491259]
F02E9.10	Protein F02E9.10, isoform b  [Source:RefSeq peptide;Acc:NP_001021084]
F36A2.4	Protein TWK-30  [Source:RefSeq peptide;Acc:NP_492381]
B0261.4	Protein MRPL-47, isoform a  [Source:RefSeq peptide;Acc:NP_001040632]
F53F10.3	Probable mitochondrial pyruvate carrier 1  [Source:UniProtKB/Swiss-Prot;Acc:O01578]
F58D5.1	Protein HRP-2, isoform a  [Source:RefSeq peptide;Acc:NP_493049]
C31H5.3	Protein ACR-19, isoform a  [Source:RefSeq peptide;Acc:NP_492429]
C36B1.7	Putative dihydrofolate reductase  [Source:UniProtKB/Swiss-Prot;Acc:Q93341]
C12C8.2	Protein CBL-1, isoform a  [Source:RefSeq peptide;Acc:NP_492486]
C36B1.8	Germline survival defective-1  [Source:UniProtKB/Swiss-Prot;Acc:Q8I4M5]
C24A11.8	Protein FRM-4, isoform a  [Source:RefSeq peptide;Acc:NP_491586]
Y39G10AL.1	Protein Y39G10AL.1  [Source:RefSeq peptide;Acc:NP_490951]
T02G6.5	Protein T02G6.5, isoform b  [Source:RefSeq peptide;Acc:NP_001251731]
F46F11.2	Protein CEY-2  [Source:RefSeq peptide;Acc:NP_491645]
C47F8.5	Protein C47F8.5  [Source:RefSeq peptide;Acc:NP_493116]
M05B5.6	Protein TRPA-2  [Source:RefSeq peptide;Acc:NP_492031]
Y105E8B.6	Protein Y105E8B.6  [Source:RefSeq peptide;Acc:NP_493546]
F28C12.7	Serpentine receptor class alpha-22  [Source:UniProtKB/Swiss-Prot;Acc:O17846]
Y110A7A.21	Protein Y110A7A.21  [Source:RefSeq peptide;Acc:NP_001076618]
