ensembl_gene_id	description
ENSMUSG00000028415	serine peptidase inhibitor, Kazal type 4 [Source:MGI Symbol;Acc:MGI:1341848]
ENSMUSG00000020698	chaperonin containing Tcp1, subunit 6b (zeta) [Source:MGI Symbol;Acc:MGI:1329013]
ENSMUSG00000028416	BCL2-associated athanogene 1 [Source:MGI Symbol;Acc:MGI:108047]
ENSMUSG00000028419	charged multivesicular body protein 5 [Source:MGI Symbol;Acc:MGI:1924209]
ENSMUSG00000046010	zinc finger protein 830 [Source:MGI Symbol;Acc:MGI:1914233]
ENSMUSG00000020697	ligase III, DNA, ATP-dependent [Source:MGI Symbol;Acc:MGI:109152]
ENSMUSG00000028423	nuclear transcription factor, X-box binding 1 [Source:MGI Symbol;Acc:MGI:1921414]
ENSMUSG00000028427	aquaporin 7 [Source:MGI Symbol;Acc:MGI:1314647]
ENSMUSG00000020696	ring finger and FYVE like domain containing protein [Source:MGI Symbol;Acc:MGI:1914588]
ENSMUSG00000028435	aquaporin 3 [Source:MGI Symbol;Acc:MGI:1333777]
ENSMUSG00000028430	nucleolar protein family 6 (RNA-associated) [Source:MGI Symbol;Acc:MGI:2140151]
ENSMUSG00000018841	RAD51 homolog D [Source:MGI Symbol;Acc:MGI:1261809]
ENSMUSG00000018844	fibronectin type III domain containing 8 [Source:MGI Symbol;Acc:MGI:1926169]
ENSMUSG00000020692	notchless homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2429770]
ENSMUSG00000036241	ubiquitin-conjugating enzyme E2R 2 [Source:MGI Symbol;Acc:MGI:1914865]
ENSMUSG00000028433	ubiquitin-associated protein 2 [Source:MGI Symbol;Acc:MGI:1916176]
ENSMUSG00000018845	unc-45 homolog B (C. elegans) [Source:MGI Symbol;Acc:MGI:2443377]
ENSMUSG00000028436	DDB1 and CUL4 associated factor 12 [Source:MGI Symbol;Acc:MGI:1916220]
ENSMUSG00000054404	schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004]
ENSMUSG00000069793	schlafen 9 [Source:MGI Symbol;Acc:MGI:2445121]
ENSMUSG00000028437	ubiquitin-associated protein 1 [Source:MGI Symbol;Acc:MGI:2149543]
ENSMUSG00000035208	schlafen 8 [Source:MGI Symbol;Acc:MGI:2672859]
ENSMUSG00000028438	kinesin family member 24 [Source:MGI Symbol;Acc:MGI:1918345]
ENSMUSG00000072620	schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]
ENSMUSG00000078763	schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]
ENSMUSG00000000204	schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]
ENSMUSG00000018986	schlafen 3 [Source:MGI Symbol;Acc:MGI:1329005]
ENSMUSG00000028443	nudix (nucleoside diphosphate linked moiety X)-type motif 2 [Source:MGI Symbol;Acc:MGI:1913651]
ENSMUSG00000018733	peroxisomal biogenesis factor 12 [Source:MGI Symbol;Acc:MGI:2144177]
ENSMUSG00000046312	expressed sequence AI464131 [Source:MGI Symbol;Acc:MGI:2140300]
ENSMUSG00000028441	RIKEN cDNA 1110017D15 gene [Source:MGI Symbol;Acc:MGI:1920971]
ENSMUSG00000035152	adaptor-related protein complex 2, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1919020]
ENSMUSG00000028439	family with sequence similarity 219, member A [Source:MGI Symbol;Acc:MGI:1919151]
ENSMUSG00000061322	dynein, axonemal, intermediate chain 1 [Source:MGI Symbol;Acc:MGI:1916172]
ENSMUSG00000028445	energy homeostasis associated [Source:MGI Symbol;Acc:MGI:1916888]
ENSMUSG00000028444	ciliary neurotrophic factor receptor [Source:MGI Symbol;Acc:MGI:99605]
ENSMUSG00000020684	RAS-like, family 10, member B [Source:MGI Symbol;Acc:MGI:2685575]
ENSMUSG00000020686	growth arrest-specific 2 like 2 [Source:MGI Symbol;Acc:MGI:3652048]
ENSMUSG00000035085	RIKEN cDNA 1700020L24 gene [Source:MGI Symbol;Acc:MGI:1913580]
ENSMUSG00000020682	matrix metallopeptidase 28 (epilysin) [Source:MGI Symbol;Acc:MGI:2153062]
ENSMUSG00000073889	interleukin 11 receptor, alpha chain 1 [Source:MGI Symbol;Acc:MGI:107426]
ENSMUSG00000020680	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:MGI Symbol;Acc:MGI:1917689]
ENSMUSG00000018925	predicted gene 11435 [Source:MGI Symbol;Acc:MGI:3650286]
ENSMUSG00000035042	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]
ENSMUSG00000019122	chemokine (C-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:104533]
ENSMUSG00000036114	ribonuclease P/MRP 25 subunit-like [Source:MGI Symbol;Acc:MGI:1917211]
ENSMUSG00000018927	chemokine (C-C motif) ligand 6 [Source:MGI Symbol;Acc:MGI:98263]
ENSMUSG00000028447	dynactin 3 [Source:MGI Symbol;Acc:MGI:1859251]
ENSMUSG00000000982	chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]
ENSMUSG00000018930	chemokine (C-C motif) ligand 4 [Source:MGI Symbol;Acc:MGI:98261]
ENSMUSG00000066224	AT rich interactive domain 3C (BRIGHT-like) [Source:MGI Symbol;Acc:MGI:3650624]
ENSMUSG00000069792	WAP four-disulfide core domain 17 [Source:MGI Symbol;Acc:MGI:3649773]
ENSMUSG00000000983	WAP four-disulfide core domain 18 [Source:MGI Symbol;Acc:MGI:107506]
ENSMUSG00000036078	sigma non-opioid intracellular receptor 1 [Source:MGI Symbol;Acc:MGI:1195268]
ENSMUSG00000051748	RIKEN cDNA 1100001G20 gene [Source:MGI Symbol;Acc:MGI:1913357]
ENSMUSG00000000976	HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]
ENSMUSG00000036073	galactose-1-phosphate uridyl transferase [Source:MGI Symbol;Acc:MGI:95638]
ENSMUSG00000020679	HNF1 homeobox B [Source:MGI Symbol;Acc:MGI:98505]
ENSMUSG00000073888	chemokine (C-C motif) ligand 27A [Source:MGI Symbol;Acc:MGI:1343459]
ENSMUSG00000020677	DEAD (Asp-Glu-Ala-Asp) box polypeptide 52 [Source:MGI Symbol;Acc:MGI:1925644]
ENSMUSG00000096543	predicted gene, 21966 [Source:MGI Symbol;Acc:MGI:5439435]
ENSMUSG00000034940	synergin, gamma [Source:MGI Symbol;Acc:MGI:1354742]
ENSMUSG00000094065	predicted gene, 21541 [Source:MGI Symbol;Acc:MGI:5434896]
ENSMUSG00000078747	predicted gene, 20878 [Source:MGI Symbol;Acc:MGI:5434234]
ENSMUSG00000078746	predicted gene, 20938 [Source:MGI Symbol;Acc:MGI:5434294]
ENSMUSG00000096256	predicted gene, 21093 [Source:MGI Symbol;Acc:MGI:5434448]
ENSMUSG00000046519	golgi phosphoprotein 3-like [Source:MGI Symbol;Acc:MGI:1917129]
ENSMUSG00000046909	transcription elongation factor, mitochondrial [Source:MGI Symbol;Acc:MGI:1915800]
ENSMUSG00000020709	ArfGAP with dual PH domains 2 [Source:MGI Symbol;Acc:MGI:2663075]
ENSMUSG00000090125	POU domain, class 3, transcription factor 1 [Source:MGI Symbol;Acc:MGI:101896]
ENSMUSG00000051219	RIKEN cDNA 3100002H09 gene [Source:MGI Symbol;Acc:MGI:1917499]
ENSMUSG00000096969	RIKEN cDNA 4930535I16 gene [Source:MGI Symbol;Acc:MGI:1922470]
ENSMUSG00000028293	solute carrier family 35 (CMP-sialic acid transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345622]
ENSMUSG00000028109	HORMA domain containing 1 [Source:MGI Symbol;Acc:MGI:1915231]
ENSMUSG00000017550	ATPase family, AAA domain containing 5 [Source:MGI Symbol;Acc:MGI:2442925]
ENSMUSG00000028292	arginyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1923596]
ENSMUSG00000028601	enoyl Coenzyme A hydratase domain containing 2 [Source:MGI Symbol;Acc:MGI:1289238]
ENSMUSG00000032826	ankyrin 2, brain [Source:MGI Symbol;Acc:MGI:88025]
ENSMUSG00000038642	cathepsin S [Source:MGI Symbol;Acc:MGI:107341]
ENSMUSG00000021711	trafficking protein particle complex 13 [Source:MGI Symbol;Acc:MGI:1914225]
ENSMUSG00000017561	cytokine receptor-like factor 3 [Source:MGI Symbol;Acc:MGI:1860086]
ENSMUSG00000017548	suppressor of zeste 12 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1261758]
ENSMUSG00000040044	origin recognition complex, subunit 3 [Source:MGI Symbol;Acc:MGI:1354944]
ENSMUSG00000041654	solute carrier family 39 (metal ion transporter), member 11 [Source:MGI Symbol;Acc:MGI:1917056]
ENSMUSG00000052533	nucleoporin 188 [Source:MGI Symbol;Acc:MGI:2446190]
ENSMUSG00000028111	cathepsin K [Source:MGI Symbol;Acc:MGI:107823]
ENSMUSG00000028291	akirin 2 [Source:MGI Symbol;Acc:MGI:1889364]
ENSMUSG00000035575	UTP6, small subunit (SSU) processome component, homolog (yeast) [Source:MGI Symbol;Acc:MGI:2445193]
ENSMUSG00000075419	dolichol kinase [Source:MGI Symbol;Acc:MGI:2677836]
ENSMUSG00000080181	predicted gene 11678 [Source:MGI Symbol;Acc:MGI:3650352]
ENSMUSG00000000567	SRY-box containing gene 9 [Source:MGI Symbol;Acc:MGI:98371]
ENSMUSG00000041695	potassium inwardly-rectifying channel, subfamily J, member 2 [Source:MGI Symbol;Acc:MGI:104744]
ENSMUSG00000028264	sperm acrosome associated 1 [Source:MGI Symbol;Acc:MGI:1914902]
ENSMUSG00000042743	small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta [Source:MGI Symbol;Acc:MGI:2444615]
ENSMUSG00000017639	RAB11 family interacting protein 4 (class II) [Source:MGI Symbol;Acc:MGI:2442920]
ENSMUSG00000044288	cannabinoid receptor 1 (brain) [Source:MGI Symbol;Acc:MGI:104615]
ENSMUSG00000051497	potassium inwardly-rectifying channel, subfamily J, member 16 [Source:MGI Symbol;Acc:MGI:1314842]
ENSMUSG00000021710	neurolysin (metallopeptidase M3 family) [Source:MGI Symbol;Acc:MGI:1923055]
ENSMUSG00000078771	ecotropic viral integration site 2a [Source:MGI Symbol;Acc:MGI:95458]
ENSMUSG00000070354	predicted gene 21975 [Source:MGI Symbol;Acc:MGI:5439444]
ENSMUSG00000028274	RNA guanylyltransferase and 5'-phosphatase [Source:MGI Symbol;Acc:MGI:1329041]
ENSMUSG00000093938	ecotropic viral integration site 2b [Source:MGI Symbol;Acc:MGI:1890682]
ENSMUSG00000079484	phytanoyl-CoA dioxygenase domain containing 1 [Source:MGI Symbol;Acc:MGI:3612860]
ENSMUSG00000049612	oligodendrocyte myelin glycoprotein [Source:MGI Symbol;Acc:MGI:106586]
ENSMUSG00000054679	serine/arginine-rich splicing factor 12 [Source:MGI Symbol;Acc:MGI:2661424]
ENSMUSG00000040128	proline-rich nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1917838]
ENSMUSG00000054659	peptidase M20 domain containing 2 [Source:MGI Symbol;Acc:MGI:2685270]
ENSMUSG00000007476	leucine rich repeat containing 8A [Source:MGI Symbol;Acc:MGI:2652847]
ENSMUSG00000028280	gamma-aminobutyric acid (GABA) C receptor, subunit rho 1 [Source:MGI Symbol;Acc:MGI:95625]
ENSMUSG00000023267	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2 [Source:MGI Symbol;Acc:MGI:95626]
ENSMUSG00000020623	mitogen-activated protein kinase kinase 6 [Source:MGI Symbol;Acc:MGI:1346870]
ENSMUSG00000028278	Ras-related GTP binding D [Source:MGI Symbol;Acc:MGI:1098604]
ENSMUSG00000028277	ubiquitin-conjugating enzyme E2J 1 [Source:MGI Symbol;Acc:MGI:1926245]
ENSMUSG00000015522	aryl hydrocarbon receptor nuclear translocator [Source:MGI Symbol;Acc:MGI:88071]
ENSMUSG00000054027	5'-nucleotidase domain containing 3 [Source:MGI Symbol;Acc:MGI:3513266]
ENSMUSG00000048703	spermatogenesis associated glutamate (E)-rich protein 4b [Source:MGI Symbol;Acc:MGI:1920776]
ENSMUSG00000056366	fatty acid binding protein 3, muscle and heart, pseudogene 1 [Source:MGI Symbol;Acc:MGI:101929]
ENSMUSG00000032216	neural precursor cell expressed, developmentally down-regulated 4 [Source:MGI Symbol;Acc:MGI:97297]
ENSMUSG00000020716	neurofibromatosis 1 [Source:MGI Symbol;Acc:MGI:97306]
ENSMUSG00000035168	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:MGI Symbol;Acc:MGI:1914110]
ENSMUSG00000030340	sodium channel, nonvoltage-gated 1 alpha [Source:MGI Symbol;Acc:MGI:101782]
ENSMUSG00000037674	regulatory factor X, 7 [Source:MGI Symbol;Acc:MGI:2442675]
ENSMUSG00000096177	predicted gene 5070 [Source:MGI Symbol;Acc:MGI:3643219]
ENSMUSG00000028646	Ras-related GTP binding C [Source:MGI Symbol;Acc:MGI:1858751]
ENSMUSG00000044937	cDNA sequence BC030307 [Source:MGI Symbol;Acc:MGI:2387653]
ENSMUSG00000026989	death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997]
ENSMUSG00000028647	c-myc binding protein [Source:MGI Symbol;Acc:MGI:1891750]
ENSMUSG00000002395	unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914273]
ENSMUSG00000055072	predicted gene 9964 [Source:MGI Symbol;Acc:MGI:3642605]
ENSMUSG00000030339	lymphotoxin B receptor [Source:MGI Symbol;Acc:MGI:104875]
ENSMUSG00000073761	Riken cDNA 4933427I04 gene [Source:MGI Symbol;Acc:MGI:3613760]
ENSMUSG00000040183	ankyrin repeat domain 6 [Source:MGI Symbol;Acc:MGI:2154278]
ENSMUSG00000025155	dihydrouridine synthase 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915980]
ENSMUSG00000069601	ankyrin 3, epithelial [Source:MGI Symbol;Acc:MGI:88026]
ENSMUSG00000090626	testis expressed gene 9 [Source:MGI Symbol;Acc:MGI:1201610]
ENSMUSG00000067702	tubulin, alpha 3A [Source:MGI Symbol;Acc:MGI:1095406]
ENSMUSG00000029063	NAD kinase [Source:MGI Symbol;Acc:MGI:2183149]
ENSMUSG00000032221	meiosis-specific nuclear structural protein 1 [Source:MGI Symbol;Acc:MGI:107933]
ENSMUSG00000043333	rhomboid, veinlet-like 2 (Drosophila) [Source:MGI Symbol;Acc:MGI:3608413]
ENSMUSG00000045854	LYR motif containing 2 [Source:MGI Symbol;Acc:MGI:1917573]
ENSMUSG00000017677	WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]
ENSMUSG00000023075	akirin 1 [Source:MGI Symbol;Acc:MGI:1915300]
ENSMUSG00000027206	COP9 (constitutive photomorphogenic) homolog, subunit 2 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1330276]
ENSMUSG00000021922	inter alpha-trypsin inhibitor, heavy chain 4 [Source:MGI Symbol;Acc:MGI:109536]
ENSMUSG00000030336	CD27 antigen [Source:MGI Symbol;Acc:MGI:88326]
ENSMUSG00000018334	kinase suppressor of ras 1 [Source:MGI Symbol;Acc:MGI:105051]
ENSMUSG00000038213	TAP binding protein-like [Source:MGI Symbol;Acc:MGI:2384853]
ENSMUSG00000038535	zinc finger protein 280D [Source:MGI Symbol;Acc:MGI:2384583]
ENSMUSG00000001123	lectin, galactose binding, soluble 9 [Source:MGI Symbol;Acc:MGI:109496]
ENSMUSG00000061390	predicted gene 7866 [Source:MGI Symbol;Acc:MGI:3644625]
ENSMUSG00000042485	musculoskeletal, embryonic nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1913425]
ENSMUSG00000051054	RIKEN cDNA 1700014D04 gene [Source:MGI Symbol;Acc:MGI:1921474]
ENSMUSG00000028648	NADH dehydrogenase (ubiquinone) Fe-S protein 5 [Source:MGI Symbol;Acc:MGI:1890889]
ENSMUSG00000004677	myosin IXb [Source:MGI Symbol;Acc:MGI:106624]
ENSMUSG00000043986	spermatogenesis associated 31 subfamily D, member 1D [Source:MGI Symbol;Acc:MGI:3045260]
ENSMUSG00000058006	midasin homolog (yeast) [Source:MGI Symbol;Acc:MGI:1926159]
ENSMUSG00000028086	F-box and WD-40 domain protein 7 [Source:MGI Symbol;Acc:MGI:1354695]
ENSMUSG00000020048	heat shock protein 90, beta (Grp94), member 1 [Source:MGI Symbol;Acc:MGI:98817]
ENSMUSG00000090816	predicted gene 6729 [Source:MGI Symbol;Acc:MGI:3646339]
ENSMUSG00000090308	predicted gene 5174 [Source:MGI Symbol;Acc:MGI:3646116]
ENSMUSG00000091311	spermatogenesis associated 31 subfamily D, member 1B [Source:MGI Symbol;Acc:MGI:3646080]
ENSMUSG00000019782	RWD domain containing 1 [Source:MGI Symbol;Acc:MGI:1913771]
ENSMUSG00000030337	vesicle-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:1313276]
ENSMUSG00000090666	predicted gene, 17567 [Source:MGI Symbol;Acc:MGI:4937201]
ENSMUSG00000026991	plakophilin 4 [Source:MGI Symbol;Acc:MGI:109281]
ENSMUSG00000050876	spermatogenesis associated 31 subfamily D, member 1A [Source:MGI Symbol;Acc:MGI:1919469]
ENSMUSG00000049902	RIKEN cDNA 4921517D22 gene [Source:MGI Symbol;Acc:MGI:1918150]
ENSMUSG00000034793	glucose 6 phosphatase, catalytic, 3 [Source:MGI Symbol;Acc:MGI:1915651]
ENSMUSG00000035093	SECIS binding protein 2-like [Source:MGI Symbol;Acc:MGI:1917604]
